fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230907 022610	-0.508987350578012	1431	358	20	8645	10	5	74557000	218
20230907 022850	-0.3378256706407	1967	387	14	6964	10	5	74585000	219
20230907 023142	-0.134224318914196	1460	413	19	7245	10	5	74333000	220
20230907 023344	-0.736041001910186	1439	381	7	6017	10	5	72387000	221
20230907 023547	-0.998727663773429	5352	2669	20	5008	10	5	56322000	222
20230907 023746	-0.778743010616243	1947	406	7	8635	10	5	75579000	223
20230907 023947	-0.73782124196781	2029	378	7	7585	10	5	75005000	224
20230907 024239	-0.74330968538882	1931	377	17	7452	10	5	74970000	225
20230907 024444	-0.468489824787388	5140	2568	20	8908	10	5	61418000	226
20230907 024721	-0.746697062614903	5850	398	20	5002	10	5	55048000	227
20230907 024946	-0.644873531332602	7992	286	14	14984	10	5	49637000	228
20230907 025055	-0.36835864937878	7989	3994	3	14542	10	5	49084000	229
20230907 025347	-0.998997587668622	1964	317	17	8672	10	5	75474000	230
20230907 025638	-0.972443062937076	2022	208	16	8935	10	5	74907000	231
20230907 025930	-0.902514819845172	2006	395	17	8875	10	5	75523000	232
20230907 030322	-0.876147864401638	2057	2	20	8781	10	5	70308000	233
20230907 030611	-0.902592162990173	2050	384	20	7840	10	5	74900000	234
20230907 030805	-0.270592657016132	7982	3990	20	5711	10	5	48874000	235
20230907 031017	-0.357811332186776	1932	208	8	8285	10	5	75033000	236
20230907 031250	-0.741246235921585	1963	974	20	8901	10	5	67396000	237
20230907 031515	-0.993954492194969	1827	231	10	7354	10	5	75159000	238
20230907 031804	-0.0976511237174872	1938	411	20	11135	10	5	72359000	239
20230907 032055	-0.50443758004604	2021	382	17	8824	10	5	75593000	240
20230907 032347	-0.496821798837669	1918	372	20	5904	10	5	72289000	241
20230907 032557	-0.120625106947327	5071	2535	20	8950	10	5	61558000	242
20230907 032850	-0.579992209012716	1983	372	17	8651	10	5	75194000	243
20230907 033057	-0.999771903729952	2932	1466	8	6852	10	5	62566000	244
